Model,Coefficient,SE,N,t_stat,p_value,sig
OLS,0.8187881229394567,0.027954198784047382,153687,29.290344869648504,4.552429103610772e-188,***
First Stage,-0.03974734739688211,0.005498438748152866,153802,-7.228842443727277,4.893778452729681e-13,***
Reduced Form,-0.11061649210456202,0.018006750798023514,153728,-6.143056753842769,8.114591441454576e-10,***
IV,2.78626723409931,0.4890296019230282,153687,5.697543099932549,1.217675321387761e-8,***
